"","SITE_ID","lat","long","ecoregion_3","elevation","slope","ws_area","ws_precip","ws_temp","ws_runoff","bfi_ws","perm_ws","erod_ws","AG_ECO9","ref_cond","val_cond","golden.redhorse","black.buffalo","river.redhorse","black.redhorse","silver.redhorse","smallmouth.buffalo","spotted.sucker","alabama.hog.sucker","blacktail.redhorse","eastern.creek.chubsucker","western.creek.chubsucker","northern.hog.sucker","white.sucker","striped.jumprock","notchlip.redhorse","bigmouth.buffalo","river.carpsucker","quillback","shorthead.redhorse","blue.sucker","blackfin.sucker","smallmouth.redhorse","longnose.sucker","v-lip.redhorse","highfin.carpsucker","blacktip.jumprock","roanoke.hog.sucker","torrent.sucker"
"18","NRS18_VT_10013",44.00941614,-72.4004584,58,475.3,4.013333333,2.3121,1135.064028,5.041988652,633.0957571,50.00233554,5.98,0.29,"NAP","REF","V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","NRS18_NY_10014",43.24866112,-73.74077517,59,107.13,0.306297476,7195.5126,1210.57738,5.652530363,696.6046704,49.50687566,7.941938941,0.228071713,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","NRS18_CT_10030",41.90060311,-72.17456169,59,160.25,1.853571429,14.1084,1219.522459,8.782449444,675,49.87700944,8.772910181,0.232128732,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","NRS18_PA_10007",41.65698585,-78.6114885,62,579.13,1.691666667,11.5281,1243.307227,6.782595658,675.4907487,42,11.79,0.270001561,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","NRS18_VT_10009",44.92641794,-72.08737253,58,297.9,0.536666667,8.5383,1172.595409,4.592258143,621,47,6.203133762,0.29111521,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","NRS18_RI_10199",41.54289668,-71.6956366,59,36.62,0.135604253,4.5342,1245.12546,9.86035801,700,66.00813815,14.25749305,0.239438269,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","NRS18_VA_10014",36.96819064,-80.64644699,66,724.05,4.136666667,3.3624,1145.552149,11.22462054,522,50,18.11,0.25,"SAP","REF","V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","NRS18_GA_10025",34.66690676,-84.94212879,67,197.11,0.055595238,62.1414,1348.538474,15.38869229,641.8245662,45.16678736,4.100634215,0.327972656,"SAP","REF","V",6,0,0,6,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","NRS18_NH_10011",44.7129621,-71.1726973,58,355.83,0.081576715,2993.3235,1176.974892,3.508943769,667.0405676,47.55193331,7.052469897,0.225921412,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","NRS18_RI_10201",41.83832365,-71.61173317,59,97.18,0.702380952,12.4389,1289.47439,9.449994304,668,55.96534259,9.154043846,0.225849794,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","NRS18_GA_10005",33.31357506,-84.17306649,45,202.52,0.087962963,138.7152,1251.90125,16.57556087,415.8844597,45.78298557,4.453865748,0.261903872,"SAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","NRS18_PA_10218",41.85042424,-78.82659517,62,577.56,5.106333333,2.4084,1187.004982,6.839364142,641,42.08893871,10.93721226,0.274730942,"NAP","REF","V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","NRS18_PA_10018",41.74655583,-79.30664962,62,360.19,2.465625,10.4724,1161.485136,7.404770665,661,44,13.75385356,0.25695428,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
