"","SITE_ID","AG_ECO9","ecoregion_3","total_N","total_P","chloride","sulfate","ANC","DOC","turbidity","RDI","pct_fine","total_N_ug","chloride_ueq","sulfate_ueq","pass_nap","pass_sap","ref_cond","val_cond"
"99","NRS18_CT_10036","NAP",59,1.647,54.68,60.933,15.674,2145.74,1.59,2.89,0.940160173,36.19047619,1647,1718.84344146685,326.337705600666,4,4,"NON-REF","C"
"100","NRS18_SC_10479","SAP",45,0.036,14.603,1.015,1.085,304.63,0.65,7.24,1.166672727,13.33333333,36,28.6318758815233,22.5900478867375,7,7,"NON-REF","C"
"101","NRS18_NY_10019","NAP",83,0.6,44.671,117.222,86.341,2438.8,3.93,4.44,2.365138095,100,600,3306.68547249647,1797.64730376848,3,3,"NON-REF","C"
"102","NRS18_AR_10191","SAP",39,0.111,4.215,2.233,5.489,5389.47,0.76,0.61,1.651581818,2.857142857,111,62.9901269393512,114.282739954195,8,8,"REF","C"
"103","NRS18_NY_10061","NAP",83,1.27,53.08,81.166,190.998,3107.98,3.77,5.22,1.439440909,0,1270,2289.59097320169,3976.63960024984,3,3,"NON-REF","C"
"104","NRS18_MD_10010","SAP",64,1.785,15.619,15.175,16.929,3076.43,1.83,2.75,1.022740909,0,1785,428.067700987306,352.467207995003,5,6,"NON-REF","C"
"105","NRS18_SC_10010","SAP",45,0.274,29.733,5.352,1.101,745.67,6.29,2.19,0.045454545,2.857142857,274,150.973201692525,22.9231730168645,7,7,"NON-REF","C"
"106","NRS18_SC_10004","SAP",45,1.063,112.319,8.641,1.164,2795.1,5.7,24.27,0.257586364,3.80952381,1063,243.751763046544,24.2348532167395,5,4,"NON-REF","V"
"107","NRS18_AR_10489","SAP",37,0.209,18.48,2.828,3.233,367.52,1.33,5.15,2.287954545,16.36363636,209,79.7743300423131,67.3120966062877,6,6,"NON-REF","V"
"108","NRS18_AR_10027","SAP",38,0.971,50.651,9.791,32.285,1779.52,2.62,7.01,0.893972727,6,971,276.191819464034,672.184051634395,3,3,"NON-REF","V"
"109","NRS18_RI_10004","NAP",59,0.276,14.134,27.49,4.396,167.51,2.61,1.66,0.42425,9.166666667,276,775.458392101551,91.5261295023943,8,7,"REF","V"
"110","NRS18_GA_10027","SAP",45,0.459,27.253,3.835,0.801,602.12,4.35,5.05,0,11.81818182,459,108.180535966149,16.6770768269831,6,6,"NON-REF","V"
"111","NRS18_RI_10009","NAP",59,0.875,85.973,27.275,5.995,217.95,2.93,1.08,0.212122727,0,875,769.393511988716,124.817822194462,6,5,"NON-REF","C"
"112","NRS18_VT_10184","NAP",58,0.36,5.243,14.534,7.012,1680.67,1.14,0.86,0.628790909,3.80952381,360,409.985895627645,145.992088278159,7,7,"NON-REF","C"
"113","NRS18_AR_10007","SAP",38,0.149,8.88,1.104,1.602,304.75,0.83,2.7,1.015190909,6.25,149,31.1424541607898,33.3541536539663,8,8,"REF","C"
"114","NRS18_VT_10008","NAP",58,0.135,7.629,26.554,7.463,1424.13,1.17,1,0.765159091,0.952380952,135,749.055007052186,155.382052883614,7,7,"NON-REF","C"
"115","NRS18_MA_10007","NAP",59,1.893,248.333,159.781,7.278,164.1,26.55,78.06,1.310636364,21.9047619,1893,4507.22143864598,151.530293566521,5,4,"NON-REF","C"
"116","NRS18_NH_10020","NAP",59,0.356,6.915,14.969,5.107,737.2,2.63,0.97,1.060640909,100,356,422.256699576869,106.329377472413,7,6,"NON-REF","V"
"117","NRS18_KY_10026","SAP",71,0.9,163.235,49.181,38.046,2907,4.47,29.05,3.175793074,8.571428571,900,1387.33427362482,792.129918800749,2,2,"NON-REF","C"
"118","NRS18_RI_10017","NAP",59,1.281,119.385,73.275,7.888,445.57,3.76,20.17,0.893945455,32.38095238,1281,2066.99576868829,164.230689152613,4,3,"NON-REF","V"
"119","NRS18_RI_10192","NAP",59,0.73,64.814,51.589,6.697,503.87,3.85,4.32,1.540424242,40,730,1455.26093088858,139.433687278784,6,5,"NON-REF","C"
"120","NRS18_GA_10022","SAP",45,0.253,23.144,4.851,0.729,1062.54,3.97,11.65,0,17.14285714,253,136.840620592384,15.1780137414116,6,6,"NON-REF","V"
"121","NRS18_SC_10020","SAP",45,0.638,81.511,3.792,2.61,261.51,1.32,2.18,0.378795455,0,638,106.967559943583,54.3410368519675,7,7,"NON-REF","C"
"122","NRS18_AR_10034","SAP",39,0.244,20.031,3.184,3.796,4598.66,1.47,4.27,0.136363636,4.761904762,244,89.8166431593794,79.0339371226317,7,7,"NON-REF","C"
"123","NRS18_MA_10006","NAP",59,0.33,13.02,15.432,4.879,648.34,3.24,2.61,0.782585455,100,330,435.317348377997,101.582344368103,7,6,"NON-REF","C"
"124","NRS18_RI_10008","NAP",59,0.371,19.815,12.024,5.21,180.7,2.39,1.72,0.030304545,37.14285714,371,339.181946403385,108.473870497606,7,6,"NON-REF","C"
"125","NRS18_SC_10781","SAP",45,1.084,151.484,7.719,4.893,583.69,1.82,22.17,0.090909091,0,1084,217.743300423131,101.873828856964,5,4,"NON-REF","C"
"126","NRS18_OH_10009","SAP",70,0.496,85.935,57.685,109.162,2536.03,2.92,23.08,4.113768182,14,496,1627.22143864598,2272.78784093275,3,3,"NON-REF","V"
"127","NRS18_NH_10007","NAP",58,0.378,12.73,2.495,2.473,394.68,4.83,1.63,1.500054545,88.23529412,378,70.3808180535966,51.488652925255,7,7,"NON-REF","C"
"128","NRS18_NY_10038","NAP",59,0.894,18.563,11.421,8.16,358.56,3.16,1.61,1.469768182,0,894,322.172073342736,169.893816364772,7,6,"NON-REF","V"
"129","NRS18_SC_10012","SAP",45,0.578,47.98,7.885,6.598,503.45,2.82,3.9,0.31250625,0,578,222.425952045134,137.372475536123,7,6,"NON-REF","V"
"130","NRS18_CT_10006","NAP",59,0.64,35.041,25.475,3.357,301.04,7.35,2.92,0.696987879,2.857142857,640,718.617771509168,69.893816364772,7,6,"NON-REF","C"
"131","NRS18_NY_10026","NAP",59,0.321,9.203,16.45,3.489,413.05,2.86,2.09,3.098513636,100,321,464.033850493653,72.6420986883198,6,5,"NON-REF","C"
"132","NRS18_VT_10015","NAP",58,0.38,8.356,22.394,6.681,1300.39,1.4,2.15,2.166722727,14.28571429,380,631.706629055007,139.100562148657,6,6,"NON-REF","V"
"133","NRS18_PA_10005","NAP",62,0.11,7.81,0.333,5.155,86.34,0.83,2.92,0,7.619047619,110,9.3935119887165,107.328752862794,8,8,"REF","V"
"134","NRS18_TN_10002","SAP",71,0.569,16.085,3.081,26.313,946.23,1.59,4.17,0.704568182,100,569,86.9111424541608,547.845096814491,6,6,"NON-REF","C"
"135","NRS18_VA_10003","SAP",45,0.325,48.666,0.983,1.04,135.06,6.42,49.3,0.113636364,3.80952381,325,27.7291960507757,21.6531334582553,6,6,"NON-REF","C"
"136","NRS18_OH_10019","SAP",70,1.263,39.199,32.367,80.376,1166.36,2.61,5.6,2.894022727,0,1263,913.032440056417,1673.454091193,2,2,"NON-REF","C"
"137","NRS18_NJ_10019","NAP",62,0.41,27.164,15.842,4.39,299.18,3.28,4.06,0.840945455,0,410,446.88293370945,91.4012075785967,6,6,"NON-REF","V"
"138","NRS18_VT_10013","NAP",58,0.14,3.48,0.499,6.897,2300.47,0.9,0.37,0.652988528,6.666666667,140,14.0761636107193,143.597751405372,8,8,"REF","V"
"139","NRS18_NY_10014","NAP",59,0.293,9.418,8.771,2.972,279.11,3.16,1.52,0.598504545,0,293,247.418899858956,61.877992921091,8,7,"REF","C"
"140","NRS18_TN_10016","SAP",71,1.103,415.603,7.132,9.531,2546.04,2.34,34.4,1.060627273,0,1103,201.184767277856,198.43847595253,5,4,"NON-REF","C"
