"","SITE_ID","lat","long","ecoregion_3","elevation","slope","ws_area","ws_precip","ws_temp","ws_runoff","bfi_ws","perm_ws","erod_ws"
"54","NRS18_WV_10002",39.9187742,-80.79683477,70,18983,0.010642102,65496.4047,1127.310637,9.153456001,592.4465867,37.5062863,6.630748381,0.336241112
"55","NRS18_VT_10023",44.21852254,-72.26004236,58,37689,0.9975,33.3036,1199.062078,4.688455381,568.6051238,48.07423522,5.818742298,0.26698465
"56","NRS18_PA_10026",41.06234628,-76.85619616,67,13379,0.030633876,17213.2515,1087.509736,8.100454385,602.748763,43.26108491,10.29655995,0.289672172
"57","NRS18_NJ_10005",40.70015927,-74.78778261,58,17632,0.173,9.0414,1321.30731,9.310321915,555,49.7609994,12.92,0.3
"58","NRS18_NH_10005",43.19317272,-71.5235048,59,6719,0.045997314,6177.5253,1234.872196,6.660940621,650.3739359,53.36626026,13.99911773,0.209465263
"59","NRS18_KY_10019",38.68588114,-85.17831438,71,12802,0.005386631,215308.7136,1101.052353,10.68919951,489.1359104,33.99580101,5.511146965,0.343807406
"60","NRS18_MA_10013",42.12793973,-73.30680862,58,27299,0.3555,14.3073,1174.975506,7.811317502,667,47.37371831,5.317551739,0.25166761
"61","NRS18_CT_10018",42.04691303,-73.31172517,58,20669,0.135333333,154.287,1222.057196,7.643509616,667.5503704,46.45359622,6.442887709,0.246490521
"62","NRS18_NY_10033",44.91334762,-74.93946612,83,5318,0.070654734,1598.5161,1044.13341,6.206944555,724.9226115,56.96556799,11.40461129,0.269971635
"63","NRS18_MA_10182",42.54022534,-72.86832966,58,46595,1.240566525,4.6071,1315.584919,6.75449115,729.1412385,45.82437976,4.04,0.23
"64","NRS18_NY_10036",44.62279409,-75.2269792,83,9189,0.068404132,1381.6854,1057.319963,6.116108082,724.9423875,57.08060938,12.26996564,0.266569959
"65","NRS18_NY_10015",44.25928163,-75.76743369,83,9373,0.084400151,884.7927,1048.726911,6.953847563,696.6515726,47.40764905,11.00085483,0.307975736
"66","NRS18_MA_10003",42.70916764,-72.45896964,59,6045,0.160666667,1.9557,1175.130776,8.297422556,616,49,11.08115509,0.29109526
"67","NRS18_MA_10019",42.58726947,-72.72401827,58,9663,0.454545455,1303.3998,1404.406293,5.914509906,859.2671289,45.79792532,6.422356235,0.329947384
"68","NRS18_KY_10020",38.12341169,-83.55382563,71,20124,0.032273889,2146.0113,1157.386802,12.74551964,465.8846404,25.52089386,5.923064698,0.354099135
"69","NRS18_RI_10018",41.91278676,-71.44343649,59,3900,0.446666667,1.7451,1269.043528,9.991999493,668,54.58019598,12.23349149,0.223919546
"70","NRS18_RI_10019",41.91551748,-71.6669889,59,11688,1.748046875,31.1058,1305.910499,9.318293812,698.9278398,53.73586598,10.33775707,0.232431283
"71","NRS18_MA_10014",42.62580561,-72.36068271,58,20641,2.4375,7.596,1217.748899,7.48843234,641,49,12.38883649,0.209530806
"72","NRS18_RI_10183",41.47842597,-71.68435454,59,2932,0.07,10.9314,1259.558903,10.02936505,700,66.95265931,19.19523135,0.252698008
"73","NRS18_RI_10194",41.97922064,-71.70946408,59,13889,2.796666667,3.3876,1265.07755,9.300117028,700,52.16684378,7.209311902,0.23195271
"74","NRS18_AL_10007",33.41281268,-86.75189942,67,12132,0.046471424,527.1615,1426.093682,16.63438511,573.8750032,37.48402264,4.255443247,0.30913647
"75","NRS18_AL_10002",34.95092177,-87.042028,71,17205,0.019870584,4785.6267,1449.034077,14.75025274,665.6363382,34.74603521,5.075628031,0.327853412
"76","NRS18_PA_10020",41.64813087,-75.78612077,60,23003,0.231481481,130.1553,1116.103136,7.865211906,505.2322825,40.92835559,2.604806904,0.325410636
"77","NRS18_NY_10035",43.80096023,-75.46668635,83,22089,0.026219742,3127.5378,1280.73286,5.361353776,871.309945,54.33082794,14.14137514,0.250967113
"78","NRS18_AL_10016",33.58483101,-87.0957233,68,7763,0.023314806,2983.0527,1407.992846,16.229154,617.574328,37.04937543,4.53375664,0.276440854
