SID,ALTSID,NOTES,FID,GENUS,SPECIES,GID,ITISTSN,COMMONNAME,OTHERNAMES,FamilyNumber,NATIVE,NONFEED,BENTHIC,SURWCOL,ALGPHYTO,MACVASCU,DETRITUS,INVLVFSH,FSHCRCRB,BLOOD,EGGS,OTHER,MAXTL,MATUAGE,LONGEVITY,FECUNDITY,SERIAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SEASON,REPSTATE,A_1_1,A_1_2,A_1_3A,A_1_3B,A_1_3C,A_1_4,A_1_5,A_1_6,A_2_3A,A_2_3B,A_2_3C,A_2_4A,A_2_4C,B_1_3A,B_1_4,B_2_2,B_2_3A,B_2_3B,B_2_4,B_2_5,B_2_6,B_2_7A,B_2_7B,B_2_7C,C1_3_4_C24,EURYHALINE,MINTEMP,MAXTEMP,LONGCENTROID,LATCENTROID,MUCK,CLAYSILT,SAND,GRAVEL,COBBLE,BOULDER,BEDROCK,VEGETAT,DEBRDETR,LWD,PELAGIC,PREFLOT,PREFLEN,POTANADR,LACUSTRINE,LOWLAND,UPLAND,MONTANE,LARGERIV,SMALLRIV,SPRGSUBT,CREEK,SLOWCURR,MODCURR,FASTCURR,AREAKM2,PERIMETER,PATCHES,LATRANGE,LONRANGE,LISTED,REASON,LIST1,LIST2,LIST3,LIST4,LIST5,EXTINCT
Abrunneu,Abrunneu,8,Ictaluri,Ameiurus,brunneus,Ameiurus,164035,snail bullhead,.,143,1,0,1,0,1,1,0,1,1,0,0,0,29.0,3.0,6.0,1742,1,0.00,0.00,0.25,1.00,1.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,2.50,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.1,33.3,1284390.05472,1253759.81932,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,255550,2945,2,927,699,1,3,1,0,0,1,0,O
Acatus,Acatus,10,Ictaluri,Ameiurus,catus,Ameiurus,164037,white catfish,.,143,1,0,1,1,0,1,1,1,1,0,0,0,95.0,3.5,11.0,4000,0,0.00,0.00,0.00,0.00,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.00,1.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6,33.0,1355158.69939,1292199.87490,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,723248,5488,1,1880,1143,0,0,0,0,0,0,0,O
Amelas,Amelas,21,Ictaluri,Ameiurus,melas,Ameiurus,164039,black bullhead,.,143,1,0,1,1,1,1,1,1,1,0,0,0,66.0,2.5,5.5,5495,0,0.00,0.00,0.00,0.75,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,2.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-7.7,32.0,90477.20613,1784816.11412,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,4141758,11352,1,2835,2461,0,0,0,0,0,0,0,O
Anatalis,Anatalis,23,Ictaluri,Ameiurus,natalis,Ameiurus,164041,yellow bullhead,.,143,1,0,1,1,1,1,1,1,1,0,1,0,47.0,2.5,7.0,7000,1,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4.3,31.8,625658.15653,1627310.94920,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,3623129,16142,2,2356,2487,0,0,0,0,0,0,0,O
Anebulos,Anebulos,24,Ictaluri,Ameiurus,nebulosus,Ameiurus,164043,brown bullhead,.,143,1,0,1,0,1,1,1,1,1,0,1,0,55.0,2.5,11.0,13000,1,0.00,0.00,0.00,1.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8.3,28.1,1107979.61015,2032086.49063,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,2592343,22794,5,2845,3315,0,0,0,0,0,0,0,O
Aplatyce,Aplatyce,28,Ictaluri,Ameiurus,platycephalus,Ameiurus,164045,flat bullhead,.,143,1,0,1,0,1,1,0,1,1,0,0,0,29.0,3.0,6.0,1742,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2,32.4,1395443.97756,1420745.49126,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,174193,3331,2,719,581,1,3,1,0,0,0,0,O
Aserraca,Aserraca,36,Ictaluri,Ameiurus,serracanthus,Ameiurus,164047,spotted bullhead,.,143,1,0,1,0,1,1,0,1,1,0,0,0,28.0,3.0,6.0,1742,1,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,6.00,Zzz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.9,33.3,1091711.80142,931759.64722,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,36714,1395,3,314,319,1,3,1,0,0,1,0,O
Acalva,Acalva,9,Amiidae,Amia,calva,Amia,161104,bowfin,.,63,1,0,1,1,0,0,0,1,1,0,0,0,109.0,4.0,25.0,64000,0,0.00,0.00,0.75,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-4.8,31.2,839733.88017,1674792.75764,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,2109234,17836,1,2615,1874,0,0,0,0,0,0,0,O
Abeanii,Abeanii,6,Percidae,Ammocrypta,beanii,Ammocryp,553376,naked sand darter,.,350,1,0,1,0,0,0,0,1,0,0,0,0,7.2,1.0,2.0,122,1,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,6.50,MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,33.3,664745.08319,1048796.45702,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,164140,2138,2,653,546,0,0,0,0,0,0,0,O
Abifasci,Ebifasci,182,Percidae,Ammocrypta,bifascia,Ammocryp,168514,Florida sand darter,.,350,1,0,0,0,0,0,0,1,0,0,0,0,6.4,1.0,3.0,85,0,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,4.50,AL,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,0,-555,-555,-555,-555,0,2.9,33.1,946111.28924,911767.53773,0,0,1,0,0,0,0,0,0,0,0,1,0,-555,0,1,0,0,1,1,0,0,0,1,0,44197,904,1,246,301,0,0,0,0,0,0,0,O
